,,,,,,,,,,,,,,,,,,,,,
,Speed,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"The Speed statistic determines the base maximum speed of the vehicle. The maximum speed can be increased by collecting coins: up to 20 coins for a 5% increase.

This statistic is divided in three normal types, On-Road , Off-Road and Water, as well as an additional special type, Gliding. The in-game bar displays the average of the three normal types, so it gives a misleading indication for most characters and vehicles.
The base maximum speed on Heavy Off-Road, Rails and Walls is the same across all combos, but coins still affect the maximum speed the same way; while Cannon Gliders set all players to the same speed, ignoring both Gliding Speed and coins.
Watercraft mode applies a -10% debuff (0.9x multiplier) to the maximum speed of the vehicle. It can be temporarily removed by using a Dash Mushroom, Star, Mega Mushroom, Boo or Bullet Bill.

All speed boosts and speed modifiers apply temporary multipliers to the maximum speed, so the boost speed is indirectly affected by the Speed statistic and coins.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Speed,,,,,,,,,,,,,,,,,,,,
,Lv.,On-Road / Off-Road,,,,Water (debuff),,,,Gliding,,,,,,,,,,,
,,Speed units,,Relative (+),,Speed units,,Relative (+),,Speed units,,Relative (+),,,,,,,,,
,0,"100,000",,"0,000%",,"90,000",,"0,000%",,"102,496",,"0,000%",,,,,,,,,
,1,"100,312",,"0,312%",,"90,281",,"0,312%",,"102,998",,"0,490%",,,,,,,,,
,2,"100,624",,"0,624%",,"90,562",,"0,624%",,"103,500",,"0,980%",,,,,,,,,
,3,"100,936",,"0,936%",,"90,842",,"0,936%",,"104,003",,"1,470%",,,,,,,,,
,4,"101,248",,"1,248%",,"91,123",,"1,248%",,,,,,,,,,,,,
,5,"101,560",,"1,560%",,"91,404",,"1,560%",,,,,,,,,,,,,
,6,"101,872",,"1,872%",,"91,685",,"1,872%",,,,,,,,,,,,,
,7,"102,184",,"2,184%",,"91,966",,"2,184%",,,,,,,,,,,,,
,8,"102,496",,"2,496%",,"92,246",,"2,496%",,,,,,,,,,,,,
,9,"102,808",,"2,808%",,"92,527",,"2,808%",,,,,,,,,,,,,
,10,"103,120",,"3,120%",,"92,808",,"3,120%",,,,,,,,,,,,,
,11,"103,432",,"3,432%",,"93,089",,"3,432%",,,,,,,,,,,,,
,12,"103,744",,"3,744%",,"93,370",,"3,744%",,,,,,,,,,,,,
,13,"104,056",,"4,056%",,"93,650",,"4,056%",,,,,,,,,,,,,
,14,"104,368",,"4,368%",,"93,931",,"4,368%",,,,,,,,,,,,,
,15,"104,680",,"4,680%",,"94,212",,"4,680%",,,,,,,,,,,,,
,16,"104,992",,"4,992%",,"94,493",,"4,992%",,,,,,,,,,,,,
,17,,,,,"94,774",,"5,304%",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Coin Curve,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"The maximum speed of the vehicle is always increased by 5% at 20 coins, but the effectiveness of each coin is influenced by the Coin Curve statistic. In general, the higher the this statistic, the more effective the early coins and the less effective the later ones. In other words, having an higher Coin Curve statistic increases the maximum speed for coin amounts ranging between 1 and 19.

The total speed increase per coin can be represented in a graph. Higher coin curves tend to be more concave, while lower coins curves tend to be more convex. The greatest discrepancy between the coin curves happens at 10 and 11 coins.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Total Speed Increase,,,,,,,,,,,,,,,,,,,,19
,Lv.,Coin count,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
,0,"0,26%","0,34%","0,46%","0,52%","0,64%","0,72%","0,85%","0,94%","1,10%","1,22%","1,38%","1,53%","1,72%","1,94%","2,17%","2,45%","2,76%","3,14%","3,69%",
,1,"0,34%","0,45%","0,59%","0,67%","0,80%","0,89%","1,02%","1,12%","1,27%","1,40%","1,56%","1,71%","1,89%","2,10%","2,33%","2,60%","2,89%","3,25%","3,76%",
,2,"0,41%","0,56%","0,71%","0,81%","0,95%","1,05%","1,19%","1,30%","1,45%","1,59%","1,74%","1,89%","2,07%","2,27%","2,48%","2,74%","3,01%","3,35%","3,84%",
,3,"0,49%","0,66%","0,84%","0,96%","1,11%","1,22%","1,37%","1,48%","1,63%","1,77%","1,92%","2,07%","2,24%","2,44%","2,64%","2,88%","3,14%","3,46%","3,91%",
,4,"0,56%","0,77%","0,97%","1,11%","1,26%","1,39%","1,54%","1,66%","1,81%","1,95%","2,11%","2,25%","2,42%","2,60%","2,79%","3,03%","3,27%","3,57%","3,99%",
