,,,,,,,,,,,,,,,,,,
,,,,,,,Vehicle Classes & Stats Distribution,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Class,Tag,Vehicles,,,,Speed,,,,Acceleration,Mini-Turbo,Weight,Coin Curve,Handling,,,Invincibility
,,,,,,,On-Road,Off-Road,Water,Gliding,,,,,On-Road Handling,Off-Road Handling,Water Handling,
,Charger,ST-A-2,,,,,1,1,1,0,9,9,0,6,8,8,8,0
,,,Standard Bike,Tune Thumper,Cute Scoot,,,,,,,,,,,,,
,,ST-A-4,,,,,2,2,2,0,8,8,1,5,7,7,7,1
,,,Pipe Frame,,,,,,,,,,,,,,,
,All-Rounder,ST-B-2,,,,,4,4,4,0,6,6,1,5,7,7,7,2
,,,Loco Moto,,,,,,,,,,,,,,,
,,ST-B-4,,,,,5,5,5,0,5,5,2,4,6,6,6,3
,,,Standard Kart,Plushbuggy,,,,,,,,,,,,,,
,,ST-B-3,,,,,5,5,5,0,6,6,3,3,4,4,4,3
,,,Blastronaut III,,,,,,,,,,,,,,,
,Speedster,ST-C-2,,,,,7,7,7,0,3,3,2,4,6,6,6,4
,,,W-Twin Chopper,,,,,,,,,,,,,,,
,,ST-C-4,,,,,8,8,8,0,2,2,3,3,5,5,5,5
,,,Reel Racer,,,,,,,,,,,,,,,
,,ST-C-3,,,,,8,8,8,0,3,3,4,2,3,3,3,5
,,,Junkyard Hog,,,,,,,,,,,,,,,
,"Off-Road
Hybrid",HB-OF,,,,,3,9,5,0,3,3,3,3,4,10,5,5
,,,Dread Sled,,,,,,,,,,,,,,,
,"Water
Hybrid",HB-WT,,,,,6,8,11,1,0,0,5,1,2,3,9,8
,,,Stellar Sled,,,,,,,,,,,,,,,
,"Light
On-Roader",ON-L-2,,,,,6,1,1,0,7,7,0,6,11,7,7,0
,,,Mach Rocket,R.O.B. H.O.G.,,,,,,,,,,,,,,
,,ON-L-4,,,,,7,2,2,0,6,6,1,5,10,6,6,1
,,,Baby Blooper,,,,,,,,,,,,,,,
,"Medium
On-Roader",ON-M-4,,,,,8,4,4,0,4,4,3,3,9,4,4,4
,,,Roadster Royale,B-Dasher,Hot Rod,Bumble V,,,,,,,,,,,,
,"Heavy
On-Roader",ON-H-4,,,,,9,6,6,0,2,2,5,1,8,2,2,7
,,,Billdozer,Big Horn,,,,,,,,,,,,,,
,,ON-H-3,,,,,9,6,6,0,3,3,6,0,6,0,0,7
,,,Rallygator,,,,,,,,,,,,,,,
,"Light
Off-Roader",OF-L-2,,,,,0,5,0,0,8,8,0,6,7,11,7,1
,,,Rally Bike,Hyper Pipe,,,,,,,,,,,,,,
,,OF-L-4,,,,,1,6,1,0,7,7,1,5,6,10,6,2
,,,Biddybuggy,,,,,,,,,,,,,,,
,"Medium
Off-Roader",OF-M-4,,,,,4,8,4,0,4,4,3,3,4,9,4,5
,,,Rally Kart,Zoom Buggy,,,,,,,,,,,,,,
,"Heavy
Off-Roader",OF-H-4,,,,,7,10,7,0,1,1,5,1,2,8,2,8
,,,Bowser Bruiser,Li'l Dumpy,Chargin' Truck,Tiny Titan,,,,,,,,,,,,
,"Light
Surfer",WT-L-2,,,,,0,0,5,1,8,8,0,6,7,7,11,1
,,,Dolphin Dasher,Fin Twin,,,,,,,,,,,,,,
,"Medium
Surfer",WT-M-4,,,,,4,4,8,1,4,4,3,3,4,4,9,5
,,,Cloud 9,Ribbit Revster,Carpet Flyer,,,,,,,,,,,,,
,,WT-M-3,,,,,4,4,8,1,5,5,4,2,2,2,7,5
,,,Funky Dorrie,,,,,,,,,,,,,,,
,"Heavy
Surfer",WT-H-4,,,,,7,7,10,1,1,1,5,1,2,2,8,8
,,,Mecha Trike,,,,,,,,,,,,,,,
,,WT-H-3,,,,,7,7,10,1,2,2,6,0,0,0,6,8
,,,Lobster Roller,,,,,,,,,,,,,,,
